_id,name,category,phone,website,address,postal_code,municipality,city,description,geometry
24,CAA Theatre (formerly Panasonic Theatre),Performing Arts,1-800-461-3333,https://www.mirvish.com/theatres/caa-theatre,651 Yonge St,M4Y 1Z9,former Toronto,Toronto,"Owned by Mirvish Productions, the CAA Theatre is the home of many famous theatrical productions.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38572, 43.66803]]}"
25,Campbell House,Museum,416-597-0227,http://www.campbellhousemuseum.ca/,160 Queen St W,M5H 3H3,former Toronto,Toronto,The Campbell house dates back to 1822 and was once home to Judge William Campbell.  It is the last example of Palladian architecture in  Toronto.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38732, 43.65105]]}"
26,Canada's Walk of Fame,Landmark,416-367-9255,https://www.canadaswalkoffame.com/,215 King St W,M5V 1H8,former Toronto,Toronto,Canada's Walk of Fame celebrates Canadians who have excelled in their respective fields for at least 10 years. The stars are displayed throughout the Entertainment District along King Street West and Simcoe Street.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38676, 43.64715]]}"
27,Canadian Museum of Cultural Heritage of Indo-Canadian,Museum,416-798-2277,https://www.baps.org/cultureandheritage/ExperienceIndia/Exhibitions/CanadianMuseumofCulturalHeritageofIndo-Canadians.aspx,61 Claireville Dr,M9W 5Z7,Etobicoke,Toronto,The Canadian Museum of Cultural Heritage of Indo-Canadians is a museum committed to the understanding of India's rich cultural heritage. See BAPS Shri Swaminarayan Mandir.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.62607, 43.73869]]}"
28,Canadian Sculpture Centre,Gallery,647-435-5858,https://www.sculptorssocietyofcanada.org/,95 Moatfield Dr,M3B 3L6,former Toronto,Toronto,The Canadian Scultpture Centre is headquarters to the Sculptors Society of Canada. The society showcases and exibits contemporary Canadian scultpures.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.35061, 43.75922]]}"
29,Canadian Stage (Berkeley Street Theatre),Performing Arts,416-367-8243,https://www.canadianstage.com/Online/default.asp?BOparam::WScontent::loadArticle::permalink=berkeley&BOparam::WScontent::loadArticle::context_id=,26 Berkeley St,M5A 2W3,former Toronto,Toronto,"Home to the Canadian Stage Company, the Berkeley Street Theatre presents an array of Canadian and international performances.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.36395, 43.65066]]}"
30,Casa Loma,Attraction,416-923-1171,https://casaloma.ca/,1 Austin Ter,M5R 1X8,former Toronto,Toronto,"Canadas foremost castle is complete with decorated suites, secret passages, an 800-foot tunnel, towers, stables, and beautiful 5-acre estate gardens.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.40944, 43.67803]]}"
31,Cedar Ridge Creative Centre,Gallery,416-396-4026,https://www.toronto.ca/explore-enjoy/history-art-culture/cultural-centres-galleries/cedar-ridge-creative-centre/,225 Confederation Dr,M1G 1B2,Scarborough,Toronto,"Situated in a restored mansion, the centre features the Cedar Ridge gallery and rich gardens. The gallery highlights work from artists throughout the Greater Toronto area.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.20709, 43.75744]]}"
32,Centennial Park,Nature/ Park,416-394-8750,https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html,256 Centennial Park Rd,M9C 5N3,Etobicoke,Toronto,"Centennial Park is situated in Etobicoke and was opened in 1967 to celebrate Canada's 100th birthday. The park features sports fields, a conservatory, a ski hill, an Olympic size swimming pool, picnic areas and a Frisbee golf course.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.59015, 43.65484]]}"
33,Centennial Park Conservatory,Nature/ Park,416-394-8543,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/centennial-park-conservatory/,151 Elmcrest Rd,M9C 3S1,Etobicoke,Toronto,"The Centennial Park conservatory is located within Centennial Park. At a size of 12,000 square feet it features an arid house, a show house and a tropical house. The conservatory is open year round and is free to the public.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.58837, 43.64938]]}"
34,Centre Island Beach,Nature/ Park,416-392-2489,http://app.toronto.ca/tpha/beach/5.html,1 Avenue Of The Islands,,former Toronto,Toronto,Centre Island Beach also known as Manitou Beach has been used by locals and tourists alike for more than a century. The beach is located on the south end of Centre Island. It is surrounded by park space and amenities such as bike and boat rentals.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37428, 43.61568]]}"
35,Centreville Amusement Park,Attraction,416-203-0405 (Summer) 416-234-2345 (Winter),http://www.centreisland.ca/,21 Avenue Of The Islands,,former Toronto,Toronto,"Centreville is a 14-acre, turn-of-the-century, Ontario village theme park for children located on Centre Island, featuring over 30 rides.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37354, 43.62029]]}"
36,CF Fairview Mall,Landmark,416-491-0151,https://www.cfshops.com/fairview-mall.html,1800 Sheppard Ave E,M2J 5A7,North York,Toronto,An upscale shopping centre in the north eastern part of Toronto.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.34471, 43.77793]]}"
37,CF Sherway Gardens,Landmark,416-621-1070,https://www.cfshops.com/sherway-gardens.html,25 The West Mall,M9C 1B8,Etobicoke,Toronto,An upscale shopping centre in Toronto's West end.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.55711, 43.61187]]}"
38,CF Toronto Eaton Centre,Landmark,416-598-8560,https://www.cfshops.com/toronto-eaton-centre.html,220 Yonge St,M5B 2H1,former Toronto,Toronto,The Toronto Eaton Centre is downtown Toronto's only shopping mall. It features over 200 stores and restaurants as well as the sculpture called Flightstop designed by Michael Snow.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38072, 43.65438]]}"
39,Cherry Beach/ Clarke Beach Park,Nature/ Park,416-396-7378,https://www.toronto.ca/data/parks/prd/facilities/complex/209/index.html,1 Cherry St,M5A 0B7,former Toronto,Toronto,"Cherry Beach is located within the port lands and features a dog's off leash area, the Martin Goodman Trail and a picnic site.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.34409, 43.63685]]}"
40,Chinese Cultural Centre of Greater Toronto,Attraction,416-292-9293,https://www.cccgt.org/,5183 Sheppard Ave E,M1B 5Z5,Scarborough,Toronto,"The building houses the P.C. Ho theatre, studios, conference rooms, a resource centre, a reception hall and an art gallery.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.234, 43.79446]]}"
41,CN Tower,Attraction,416-868-6937,http://www.cntower.ca/,290 Bremner Blvd,M5V 3L9,former Toronto,Toronto,"The CN Tower is an engineering marvel and one of the city's most visited sites. It features the world's highest wine cellar, a fine dining revolving restaurant (360), a glass floor. For the true adventure seeker, the Edge walk.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38707, 43.64256]]}"
42,Coca-Cola Coliseum (formerly Ricoh Coliseum),Sports / Entertainment Venue,416-815-5982,https://www.coca-colacoliseum.com/,19 Nunavut Rd,M6K 3C3,former Toronto,Toronto,"Located at Exhibition Place, the Coca-Cola Coliseum is home to the Toronto Marlies (American Hockey League) and concerts.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.41528, 43.63489]]}"
43,Colborne Lodge,Museum,416-392-6916,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/colborne-lodge/,11 Colborne Lodge Dr,M6S 5A3,former Toronto,Toronto,This quaint cottage located within High Park was home to John and Jemma Howard. In 1873 the couple deeded the part to lodge to the City of Toronto. The house is a great example of a regency style building.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.45998, 43.6404]]}"
44,Dancemakers Centre for Creation,Performing Arts,416-367-1800,http://dancemakers.org/,410 Jarvis St,M4Y 2G6,former Toronto,Toronto,"One of Toronto's professional contemporary dance companies, Dancemakers and the Centre for Creation is focused on the delivery of refined and passionate dance to its admirers.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37792, 43.66451]]}"
45,Design Exchange,Museum,416-933-2919,https://designexchangetoronto.com/,234 Bay St,M5K 1B2,former Toronto,Toronto,Canada's only museum dedicated to the preservation of design which includes the design heritage from an array of mediums.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38032, 43.64769]]}"
46,Downsview Park,Nature/ Park,416-634-2559,https://en.downsviewpark.ca/home,70 Canuck Ave,M3K 2C5,North York,Toronto,"The vast green space allows for an array of small-to-large scale events such as culture, dining, leisure, sports, and recreation.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.48417, 43.74388]]}"
47,Elgin and Winter Garden Theatre Centre,Performing Arts,416-314-3718,https://www.heritagetrust.on.ca/ewg/ewg-home,189 Yonge St,M5B 1M4,former Toronto,Toronto,The Elgin and Winter Garden Theatre features two completely separate theatres and is the last running double-decker theatre in the world .,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37938, 43.65304]]}"
48,Enercare Centre,Convention & Trade Centres,416-263-3000,https://www.enercarecentre.com/,100 Princes' Blvd,M6K 3C3,former Toronto,Toronto,"The largest convention centre in Canada, over 180 trade and consumer shows are hosted annually.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.41238, 43.63504]]}"
49,Evergreen Brick Works,Attraction,416-596-7670,http://www.evergreen.ca/get-involved/evergreen-brick-works/,550 Bayview Ave,M4W 3X8,East York,Toronto,"A former brickyard, the Evergreen Brick Works is an urban model for ecosystem planning. Filled with activities for the whole family and a farmers market.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.36473, 43.68432]]}"
50,Exhibition Place,Convention & Trade Centres,416-263-3000,https://www.explace.on.ca/,100 Princes' Blvd,M6K 3C3,former Toronto,Toronto,"Attracting over 5 million visitors a year, this massive complex features sporting and exhibition facilities, a nightclub and attractions.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.41238, 43.63509]]}"
51,Factory Theatre,Performing Arts,416-504-9971,https://www.factorytheatre.ca,125 Bathurst St,M5V 2R2,former Toronto,Toronto,"The Factory Theatre operates two theatres in a  Victorian mansion, where they have produced more than 150 Canadian plays, and various workshops.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.40282, 43.64547]]}"
52,Famous People Players,Performing Arts,416-532-1137,https://famouspeopleplayers.com/,343 Evans Ave,M8Z 1K2,Etobicoke,Toronto,"Located in Toronto's West End, Famous PEOPLE Players allows visitors to immerse themselves in a unique dining experience while enjoying theatre in the dark.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.52066, 43.61501]]}"
53,Fort York National Historic Site,Museum,416-392-6907,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/fort-york-national-historic-site/,250 Fort York Blvd,M5V 3K9,former Toronto,Toronto,"Birthplace of Toronto in 1793 and scene of the Battle of York in 1813, Fort York has Canadas largest collection of original War of 1812 buildings. Open year round for tours, exhibits, and demonstrations.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.40417, 43.63924]]}"
54,Four Seasons Centre for the Performing Arts,Performing Arts,416-363-8231,https://www.coc.ca/venue-information/fourseasonscentre,145 Queen St W,M5H 4G1,former Toronto,Toronto,The Four Seasons Centre for the Performing Arts is home to the Canadian Opera Company and the National Ballet of Canada.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38568, 43.65052]]}"
55,Franklin Children's Garden,Garden / Conservatory,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/1806/index.html,30 Centre Island Pk,M5J 2E9,former Toronto,Toronto,"The garden, inspired by Franklin the Turtle, is an area to discover nature, play, while learning something new.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37627, 43.61615]]}"
56,Gardiner Museum,Museum,416-586-8080,https://www.gardinermuseum.on.ca/,111 Queen's Park,M5S 2C7,former Toronto,Toronto,"A museum dedicated to one of the oldest forms of art. The Gardiner Museum of Ceramic Art is home to over 3,000 historical and contemporary ceramic pieces.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39315, 43.66808]]}"
57,George Ignatieff Theatre,Performing Arts,416-978-4166,https://www.trinity.utoronto.ca/discover/catering-events/george-ignatieff-theatre/,15 Devonshire Pl,M5S 2C8,former Toronto,Toronto,"In the Trinity College community, the George Ignatieff Theatre acts as a creative hub ranging from events like theatre, conferences, and much more.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39715, 43.66557]]}"
58,Gibraltar Point Beach,Nature/ Park,416-392-2489,http://app.toronto.ca/tpha/beach/4.html,443 Lakeshore Ave,M5J 2W2,former Toronto,Toronto,"Surrounded by eastern cottonwood trees, the Gibraltar Point Beach is located on the southwest shore of Toronto Island Park. The Gibraltar Point Centre for the Arts is walking distance from the beach.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38407, 43.61291]]}"
59,Gibson House Museum,Museum,416-395-7432,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/gibson-house-museum/,5172 Yonge St,M2N 5P6,North York,Toronto,"Operated  by the City of Toronto, the Gibson House is a museum where visitors experience an exquisite farmhouse and learn more about the rural development of the area.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.4149, 43.76962]]}"
60,Glenn Gould Studio,Performing Arts,833-205-5574,https://www.cbc.ca/glenngouldstudio/,250 Front St W,M5V 3G5,former Toronto,Toronto,"Located on the main floor of the Canadian Broadcasting Centre,  the Glenn Gould Studio is a much-celebrated venue for its state of the art recording facilities and acoustics.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38778, 43.64438]]}"
61,Gooderham Flatiron Building,Landmark,416-392-1975,https://www.historicplaces.ca/en/rep-reg/place-lieu.aspx?id=8311,49 Wellington St E,M5E 1C9,former Toronto,Toronto,Gooderham Building is a historic office building known for its unique location and triangular architecture.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37417, 43.64844]]}"
62,Graffiti Alley,Landmark,416-392-2489,https://artwalk.tdwbia.ca/businesses/graffiti-alley-toronto,513 Queen St W,M5V 2B4,former Toronto,Toronto,The graffiti hub showcases several blocks of colourful murals and art.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39847, 43.64792]]}"
63,Guild Park and Gardens (formely known as Guildwood Park),Nature/ Park,416-396-7378,https://www.toronto.ca/data/parks/prd/facilities/complex/406/index.html,201 Guildwood Pkwy,M1E 1P5,Scarborough,Toronto,"A sculptural alluring park and garden, the Guild Park and Gardens is rich in local history and a must-see for locals and visitors alike.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.19249, 43.74809]]}"
64,Hanlan's Point Beach,Nature/ Park,416-392-8196,https://www.toronto.ca/data/parks/prd/facilities/complex/2541/index.html,695 Lakeshore Ave,M5J 2W2,former Toronto,Toronto,"Situated on the west shore of Toronto Island Park, this beach is Toronto's only clothing optional beach.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39409, 43.61986]]}"
65,Harbour Square Park,Nature/ Park,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=74&title=Harbour-Square-Park,25 Queens Quay W,M5J 2T5,former Toronto,Toronto,"Located next to the Toronto Ferry Docks, Harbour Square Park offers downtown folks a spot to sit and watch the ferries travel back and forth to the island.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37665, 43.64019]]}"
66,Harbourfront Centre,Performing Arts,416-973-4000,http://www.harbourfrontcentre.com/,235 Queens Quay W,M5J 2G8,former Toronto,Toronto,"Popular 10-acre lakeside cultural site offers an eclectic blend of year-round arts, culture and recreation such as concerts, skating, music festivals and dance.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38188, 43.63882]]}"
67,Hart House Theatre,Performing Arts,416-978-2452,https://harthouse.ca/,7 Hart House Cir,M5S 3H3,former Toronto,Toronto,"A point of interest in the University of Toronto community, the Hart House Theatre and it's students produce an array of drama, dance, film, and music.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39434, 43.664]]}"
68,High Park,Nature/ Park,416-338-0338,http://www.highparktoronto.com/,1873 Bloor St W,M6R 2Z3,former Toronto,Toronto,"High Park is one of Torontos largest parks, and attracts visitors each spring for the blooming of its famous cherry blossoms. It also contains attractions and amenities such as recreational programs, a local zoo, a unique playground and a pond.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.46378, 43.64646]]}"
69,Historic Zion Schoolhouse,Museum,416-395-7435,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/zion-schoolhouse/,1091 Finch Ave E,M2J 2X3,North York,Toronto,"Built in 1869, the Historic Zion Schoolhouse has been restored to emulate schooling as it once was in the farming  district of L'Amaroux","{""type"": ""MultiPoint"", ""coordinates"": [[-79.3634, 43.79037]]}"
70,Hockey Hall of Fame,Attraction,416-360-7765,https://www.hhof.com/,30 Yonge St,M5E 1X8,former Toronto,Toronto,"Unique to Toronto, and featuring the Stanley Cup, interactive exhibits, shows, and the finest collection of hockey artifacts in the world.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37768, 43.64726]]}"
71,HTO Park,Nature/ Park,416-392-8188,https://www.toronto.ca/data/parks/prd/facilities/complex/1663/index.html,339 Queens Quay W,M5V 1A2,former Toronto,Toronto,"Facing the inner harbour with Toronto Island Park in clear viewing,  HTO Park includes an urban beach which is decorated with yellow umbrellas and Muskoka chairs.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38817, 43.63779]]}"
72,Hudson's Bay,Landmark,416-861-9111,https://www.thebay.com/,176 Yonge St,M5C 2L7,former Toronto,Toronto,"Famously known as being North America's oldest company, the Hudson Bay is a chain of department stores  that operate throughout the country.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37988, 43.65197]]}"
73,Humber Arboretum,Nature/ Park,416-675-3111,https://humber.ca/arboretum/,205 Humber College Blvd,M9W 5L7,Etobicoke,Toronto,"Located nearby the West Humber River Valley, the Humber Arboretum offers trails through environmentally-rich areas like forests, and wetlands.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.60749, 43.72481]]}"
74,Humber Bay Park West (Humber Bay Butterfly Habitat),Nature/ Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/1074/index.html,100 Humber Bay Park Rd W,M8V 3X7,Etobicoke,Toronto,"Located at a waterfront park at the mouth of Mimico Creek, the Humber Bay Butterfly Habitat is focused on providing habitat for an array of native butterfly species.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.47727, 43.62416]]}"
75,iArts Museum,Museum,416-504-2787,https://www.iartsmuseum.ca/,580 King St W,M5V 1M1,former Toronto,Toronto,This unique museum features larger-than-life 3D illusions as an immersive experience.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39944, 43.64489]]}"
76,Illuminarium Toronto,Attraction,647-368-6070,https://www.illuminarium.com/toronto,28 Gristmill Ln,M5A 4R2,former Toronto,Toronto,"An immerseive experience featuring cutting edge visual, audio and projection technology, occasionally hosting shows.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.36061, 43.64993]]}"
77,Isabel Bader Theatre,Performing Arts,416-585-4575,https://www.vicu.utoronto.ca/hospitality-services/hold-an-event/isabel-bader-theatre/,93 Charles St W,M5S 1K5,former Toronto,Toronto,"Located at the University of Toronto, this multi-purpose venue seats 500 patrons whether it be for a lecture, workshop, or a theatrical production.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39257, 43.66731]]}"
78,Jack Layton Ferry Terminal,Transportation,416-392-8193,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/all-ferry-schedules/,9 Queens Quay W,M5J 2H3,former Toronto,Toronto,"Located at the foot of Bay Street and Queens Quay West, the  Jack Layton Ferry Terminal acts as a commuting point to and from the Toronto Island Park with frequent ferry service.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37564, 43.64001]]}"
79,James Garden Park,Garden / Conservatory,416-392-8188,https://www.toronto.ca/data/parks/prd/facilities/complex/3/index.html,99 Edenbridge Dr,M9A 4N1,Etobicoke,Toronto,"Former estate gardens located in Toronto's west end that include rare trees, spring-fed pools, and other seasonal displays.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.51546, 43.67111]]}"
